target_id,target_name,matched_candidate_id,matched_candidate_name,matched_attribute1,matched_attribute2,matched_attribute3,append_attribute1,append_attribute2,append_attribute3,similarity_score,matched_scorer
,MICHAEL HONDA,N00012611,MIKE HONDA,D,CA,17,2016,,,78.26086956521739,WRatio
,DENNIS ROSS,N00030645,DENNIS ROSS,R,FL,15,2016,,,100.0,WRatio
,CRESENT HARDY,N00035628,CRESENT HARDY,R,NV,4,2016,,,100.0,WRatio
,JOHN MOOLENAAR,N00036275,JOHN MOOLENAAR,R,MI,4,2016,,,100.0,WRatio
,DAVID JOLLY,N00035717,DAVID JOLLY,R,FL,13,2016,,,100.0,WRatio
,GWEN GRAHAM,N00035688,GWEN GRAHAM,D,FL,2,2016,,,100.0,WRatio
,STENY HOYER,N00001821,STENY H HOYER,D,MD,5,2016,,,100.0,token_set_ratio
,RICHARD NUGENT,N00032441,RICHARD NUGENT,R,FL,11,2016,,,100.0,WRatio
,KEVIN BRADY,N00005883,KEVIN BRADY,R,TX,8,2016,,,100.0,WRatio
,GRACE NAPOLITANO,N00006789,GRACE NAPOLITANO,D,CA,32,2016,,,100.0,WRatio
,DAVID VALADAO,N00033367,DAVID VALADAO,R,CA,21,2016,,,100.0,WRatio
,JOSEPH HECK,N00031244,JOE HECK,R,NV,3,2016,,,84.21052631578948,token_set_ratio
,SUSAN BROOKS,N00033495,SUSAN BROOKS,R,IN,5,2016,,,100.0,WRatio
,DAVID SCOTT,N00024871,DAVID SCOTT,D,GA,13,2016,,,100.0,WRatio
,RENEE ELLMERS,N00031513,RENEE ELLMERS,R,NC,2,2016,,,100.0,WRatio
,CANDICE MILLER,N00009795,CANDICE S MILLER,R,MI,10,2016,,,100.0,token_set_ratio
,JUSTIN AMASH,N00031938,JUSTIN AMASH,R,MI,3,2016,,,100.0,WRatio
,CHELLIE PINGREE,N00013817,CHELLIE PINGREE,D,ME,1,2016,,,100.0,WRatio
,SUSAN DAVIS,N00009604,SUSAN DAVIS,D,CA,53,2016,,,100.0,WRatio
,RUBEN GALLEGO,N00036097,RUBEN GALLEGO,D,AZ,7,2016,,,100.0,WRatio
,STEVAN PEARCE,N00012672,STEVE PEARCE,R,NM,2,2016,,,88.0,WRatio
,MIKE BOST,N00035420,MIKE BOST,R,IL,12,2016,,,100.0,WRatio
,KEITH ELLISON,N00028257,KEITH ELLISON,D,MN,5,2016,,,100.0,WRatio
,ZOE LOFGREN,N00007479,ZOE LOFGREN,D,CA,19,2016,,,100.0,WRatio
,JIM BRIDENSTINE,N00033532,JAMES BRIDENSTINE,R,OK,1,2016,,,88.88888888888889,partial_ratio
,THEODORE DEUTCH,N00031317,TED DEUTCH,D,FL,21,2016,,,88.88888888888889,partial_ratio
,GARRET GRAVES,N00036135,GARRET GRAVES,R,LA,6,2016,,,100.0,WRatio
,EARL BLUMENAUER,N00007727,EARL BLUMENAUER,D,OR,3,2016,,,100.0,WRatio
,JOSÉ SERRANO,N00001813,JOSE E SERRANO,D,NY,15,2016,,,81.4814814814815,WRatio
,ANDER CRENSHAW,N00012739,ANDER CRENSHAW,R,FL,4,2016,,,100.0,WRatio
,DAN BENISHEK,N00031934,DAN BENISHEK,R,MI,1,2016,,,100.0,WRatio
,MARK DESAULNIER,N00030709,MARK DESAULNIER,D,CA,11,2016,,,100.0,WRatio
,LORETTA SANCHEZ,N00008274,LORETTA SANCHEZ,D,CA,46,2016,,,100.0,WRatio
,JOHN KLINE,N00004436,JOHN KLINE,R,MN,2,2016,,,100.0,WRatio
,TODD YOUNG,N00030670,TODD YOUNG,R,IN,9,2016,,,100.0,WRatio
,DEBBIE WASSERMAN SCHULTZ,N00026106,DEBBIE WASSERMAN SCHULTZ,D,FL,23,2016,,,100.0,WRatio
,MARIO DIAZ-BALART,N00025337,MARIO DIAZ-BALART,R,FL,25,2016,,,100.0,WRatio
,CURTIS CLAWSON,N00035854,CURT CLAWSON,R,FL,19,2016,,,92.3076923076923,WRatio
,JOHN SARBANES,N00027751,JOHN SARBANES,D,MD,3,2016,,,100.0,WRatio
,C. RUPPERSBERGER,N00025482,DUTCH RUPPERSBERGER,D,MD,2,2016,,,93.75,partial_ratio
,TRENT FRANKS,N00006423,TRENT FRANKS,R,AZ,8,2016,,,100.0,WRatio
,LAMAR SMITH,N00001811,LAMAR SMITH,R,TX,21,2016,,,100.0,WRatio
,CHRIS COLLINS,N00001285,CHRIS COLLINS,R,NY,27,2016,,,100.0,WRatio
,MARLIN STUTZMAN,N00030891,MARLIN STUTZMAN,R,IN,3,2016,,,100.0,WRatio
,JOSEPH KENNEDY,N00034044,JOE KENNEDY III,D,MA,4,2016,,,88.0,partial_ratio
,RAÚL GRIJALVA,N00025284,RAUL M GRIJALVA,D,AZ,3,2016,,,82.75862068965517,WRatio
,JOHN KATKO,N00035934,JOHN KATKO,R,NY,24,2016,,,100.0,WRatio
,CEDRIC RICHMOND,N00030184,CEDRIC RICHMOND,D,LA,2,2016,,,100.0,WRatio
,DINA TITUS,N00030191,DINA TITUS,D,NV,1,2016,,,100.0,WRatio
,KATHLEEN RICE,N00035927,KATHLEEN RICE,D,NY,4,2016,,,100.0,WRatio
,GEORGE BUTTERFIELD,N00027035,G K BUTTERFIELD,D,NC,1,2016,,,89.65517241379311,partial_ratio
,J. FORBES,N00013799,RANDY FORBES,R,VA,4,2016,,,87.5,partial_ratio
,MARCY KAPTUR,N00003522,MARCY KAPTUR,D,OH,9,2016,,,100.0,WRatio
,HAKEEM JEFFRIES,N00033640,HAKEEM JEFFRIES,D,NY,8,2016,,,100.0,WRatio
,JOE BARTON,N00005656,JOE BARTON,R,TX,6,2016,,,100.0,WRatio
,BOBBY RUSH,N00004887,BOBBY L RUSH,D,IL,1,2016,,,100.0,token_set_ratio
,GLENN THOMPSON,N00029736,GLENN THOMPSON,R,PA,5,2016,,,100.0,WRatio
,JOSEPH PITTS,N00001633,JOE PITTS,R,PA,16,2016,,,85.71428571428572,WRatio
,NYDIA VELÁZQUEZ,N00001102,NYDIA VELAZQUEZ,D,NY,7,2016,,,90.3225806451613,token_set_ratio
,PATRICK MEEHAN,N00031134,PATRICK MEEHAN,R,PA,7,2016,,,100.0,WRatio
,JEFF MILLER,N00013846,JEFF MILLER,R,FL,1,2016,,,100.0,WRatio
,STEVE KING,N00025237,STEVEN A KING,R,IA,4,2016,,,86.95652173913044,WRatio
,MARK TAKANO,N00006701,MARK A TAKANO,D,CA,41,2016,,,100.0,token_set_ratio
,BRETT GUTHRIE,N00029675,BRETT GUTHRIE,R,KY,2,2016,,,100.0,WRatio
,LOUISE SLAUGHTER,N00001311,LOUISE M SLAUGHTER,D,NY,25,2016,,,100.0,token_set_ratio
,BRUCE POLIQUIN,N00034584,BRUCE POLIQUIN,R,ME,2,2016,,,100.0,WRatio
,MATT SALMON,N00006446,MATT SALMON,R,AZ,5,2016,,,100.0,WRatio
,DANIEL KILDEE,N00033395,DAN KILDEE,D,MI,5,2016,,,86.95652173913044,WRatio
,MATTHEW CARTWRIGHT,N00034128,MATT CARTWRIGHT,D,PA,17,2016,,,90.9090909090909,WRatio
,KAREN BASS,N00031877,KAREN BASS,D,CA,37,2016,,,100.0,WRatio
,GREGORY MEEKS,N00001171,GREGORY W MEEKS,D,NY,5,2016,,,100.0,token_set_ratio
,JOHN CONYERS,N00004029,JOHN CONYERS JR,D,MI,13,2016,,,100.0,partial_ratio
,DONNA EDWARDS,N00028249,DONNA EDWARDS,D,MD,4,2016,,,100.0,WRatio
,CHAKA FATTAH,N00001746,CHAKA FATTAH,D,PA,2,2016,,,100.0,WRatio
,STEVE CHABOT,N00003689,STEVE CHABOT,R,OH,1,2016,,,100.0,WRatio
,CHARLES DENT,N00026171,CHARLIE DENT,R,PA,15,2016,,,91.66666666666667,token_set_ratio
,BEN LUJÁN,N00029562,BEN R LUJAN,D,NM,3,2016,,,76.19047619047619,WRatio
,ROSA DELAURO,N00000615,ROSA L DELAURO,D,CT,3,2016,,,100.0,token_set_ratio
,JOSEPH CROWLEY,N00001127,JOSEPH CROWLEY,D,NY,14,2016,,,100.0,WRatio
,TIM RYAN,N00025280,TIM RYAN,D,OH,13,2016,,,100.0,WRatio
,ROBIN KELLY,N00035215,ROBIN KELLY,D,IL,2,2016,,,100.0,WRatio
,PETER VISCLOSKY,N00003813,PETE VISCLOSKY,D,IN,1,2016,,,96.55172413793103,WRatio
,PETER ROSKAM,N00004719,PETER ROSKAM,R,IL,6,2016,,,100.0,WRatio
,KEN CALVERT,N00007099,KEN CALVERT,R,CA,42,2016,,,100.0,WRatio
,LUCILLE ROYBAL-ALLARD,N00006671,LUCILLE ROYBAL-ALLARD,D,CA,40,2016,,,100.0,WRatio
,GENE GREEN,N00005870,GENE GREEN,D,TX,29,2016,,,100.0,WRatio
,TOM COLE,N00025726,TOM COLE,R,OK,4,2016,,,100.0,WRatio
,ALBIO SIRES,N00027523,ALBIO SIRES,D,NJ,8,2016,,,100.0,WRatio
,ROBERT ADERHOLT,N00003028,ROBERT B ADERHOLT,R,AL,4,2016,,,100.0,token_set_ratio
,SAM JOHNSON,N00008028,SAM JOHNSON,R,TX,3,2016,,,100.0,WRatio
,BILL SHUSTER,N00013770,BILL SHUSTER,R,PA,9,2016,,,100.0,WRatio
,JERRY MCNERNEY,N00026926,JERRY MCNERNEY,D,CA,9,2016,,,100.0,WRatio
,MICK MULVANEY,N00031412,MICK MULVANEY,R,SC,5,2016,,,100.0,WRatio
,BONNIE WATSON COLEMAN,N00036158,BONNIE COLEMAN,D,NJ,12,2016,,,100.0,token_set_ratio
,ALAN GRAYSON,N00028418,ALAN GRAYSON,D,FL,9,2016,,,100.0,WRatio
,GEORGE HOLDING,N00033399,GEORGE HOLDING,R,NC,13,2016,,,100.0,WRatio
,JIM MCDERMOTT,N00009829,JIM MCDERMOTT,D,WA,7,2016,,,100.0,WRatio
,JOHN DUNCAN,N00003209,JOHN J DUNCAN JR,R,TN,2,2016,,,100.0,token_set_ratio
,SHEILA JACKSON LEE,N00005818,SHEILA JACKSON LEE,D,TX,18,2016,,,100.0,WRatio
,JOHN CARTER,N00025095,JOHN CARTER,R,TX,31,2016,,,100.0,WRatio
,LOIS FRANKEL,N00002893,LOIS J FRANKEL,D,FL,22,2016,,,100.0,token_set_ratio
,NORMA TORRES,N00036107,NORMA TORRES,D,CA,35,2016,,,100.0,WRatio
,RUBÉN HINOJOSA,N00006008,RUBEN HINOJOSA,D,TX,15,2016,,,89.65517241379311,WRatio
,TRENT KELLY,N00037003,TRENT KELLY,R,MS,1,2016,,,100.0,WRatio
,ADAM KINZINGER,N00030667,ADAM KINZINGER,R,IL,16,2016,,,100.0,WRatio
,JOHN YARMUTH,N00028073,JOHN A YARMUTH,D,KY,3,2016,,,100.0,token_set_ratio
,RALPH ABRAHAM,N00036633,RALPH ABRAHAM,R,LA,5,2016,,,100.0,WRatio
,STEPHEN FINCHER,N00031141,STEVE FINCHER,R,TN,8,2016,,,85.71428571428572,WRatio
,F. SENSENBRENNER,N00004291,JIM SENSENBRENNER,R,WI,5,2016,,,93.33333333333333,partial_ratio
,CARLOS CURBELO,N00035403,CARLOS CURBELO,R,FL,26,2016,,,100.0,WRatio
,STEPHEN LYNCH,N00013855,STEPHEN F LYNCH,D,MA,8,2016,,,100.0,token_set_ratio
,FREDERICA WILSON,N00030650,FREDERICA WILSON,D,FL,24,2016,,,100.0,WRatio
,SCOTT DESJARLAIS,N00030957,SCOTT DESJARLAIS,R,TN,4,2016,,,100.0,WRatio
,JAMES MCGOVERN,N00000179,JAMES P MCGOVERN,D,MA,2,2016,,,100.0,token_set_ratio
,JANICE HAHN,N00006806,JANICE HAHN,D,CA,44,2016,,,100.0,WRatio
,MO BROOKS,N00030910,MO BROOKS,R,AL,5,2016,,,100.0,WRatio
